userId,movieId,rating
1,1431744,4.3
1,1442316,1.3
1,227159,2.5
1,157336,1.0
1,1434291,2.5
1,799766,1.5
1,1438208,1.3
1,1443238,3.6
1,1416501,3.2
1,1378051,3.5
1,1433831,1.0
1,1428262,4.4
1,1429788,4.9
1,1442278,4.0
1,1241982,2.0
1,1138194,1.6
1,1443551,2.5
1,1195506,1.1
1,1437515,3.7
1,1424565,4.5
2,87101,1.4
2,265208,3.9
2,1422471,2.0
2,1444332,3.4
2,1043808,1.4
2,1443907,2.7
2,1328767,3.9
2,1424565,3.2
2,1422072,2.9
2,1418112,3.2
2,228150,2.2
2,1443551,1.5
2,1376834,1.6
2,1433719,4.6
2,1214130,3.8
2,1262495,1.6
2,558449,2.8
2,1446174,3.1
2,227159,4.8
2,122,3.4
3,1440776,2.4
3,265208,1.7
3,1443695,4.1
3,1421001,3.3
3,1428541,1.8
3,1446174,2.4
3,1433906,2.2
3,1442918,2.4
3,1182088,2.4
3,1443480,1.4
3,1428262,2.0
3,1445713,1.5
3,270303,1.8
3,1442915,4.7
3,1418112,2.9
3,1233575,1.4
3,1416501,3.4
3,1149167,3.9
3,1439614,1.3
3,1380415,2.4
4,1393191,3.6
4,1441840,3.9
4,1106560,1.0
4,1126166,4.4
4,1422166,1.9
4,1444331,3.6
4,1361451,3.4
4,1119820,1.5
4,1275245,4.9
4,1371370,2.1
4,1439254,1.8
4,1426337,1.4
4,1438208,2.4
4,1428507,3.6
4,1443378,3.2
4,1446174,2.7
4,98,1.7
4,1231695,1.3
4,1233575,2.8
4,287424,4.6
5,1425360,2.1
5,262543,2.3
5,1384565,3.9
5,1231695,1.6
5,1138194,1.9
5,1439614,1.8
5,177572,3.1
5,1119820,3.8
5,438631,3.5
5,1424103,4.2
5,100042,4.5
5,1393191,3.4
5,1421001,4.3
5,1442316,3.4
5,1433574,1.2
5,1429788,1.1
5,603,1.6
5,1437920,4.6
5,278,4.3
5,1442438,4.0
6,1417181,2.3
6,850920,1.6
6,1106560,3.9
6,1438203,3.4
6,1443470,1.8
6,1424352,3.6
6,1393191,3.9
6,1371370,2.9
6,228150,1.1
6,1445505,4.4
6,98566,2.0
6,762509,1.1
6,414906,2.7
6,1291321,1.8
6,1204967,4.2
6,254904,3.4
6,265208,3.0
6,1423093,3.9
6,823219,5.0
6,1127674,3.8
7,1442295,2.8
7,1324389,4.1
7,1144417,1.9
7,1444686,1.2
7,1436621,3.9
7,156022,4.6
7,1294376,3.5
7,1306284,1.9
7,1198288,3.1
7,1435766,3.6
7,1443907,4.9
7,1274751,2.9
7,898271,2.5
7,675776,1.2
7,1203524,1.4
7,1312157,3.5
7,1378734,4.5
7,1119820,4.5
7,1438203,4.5
7,447273,4.1
8,1442200,3.3
8,122917,3.5
8,1439004,3.2
8,87101,3.5
8,1428541,3.2
8,1433900,3.7
8,1442278,2.6
8,1442417,1.7
8,1443663,4.1
8,1435766,2.7
8,1399686,2.1
8,1433811,2.2
8,1013850,1.7
8,1077281,3.3
8,1167416,2.1
8,1442689,3.3
8,100042,3.2
8,1271724,4.8
8,1356039,2.3
8,1404722,4.7
9,1437701,3.9
9,100042,4.2
9,1255192,1.1
9,1149463,3.2
9,1442295,3.7
9,1442538,1.5
9,1440144,4.7
9,1424897,3.6
9,1436684,2.0
9,1241982,3.6
9,1326693,1.2
9,131631,1.7
9,1202479,4.6
9,1428780,3.9
9,1077281,2.4
9,1294376,1.3
9,1423299,2.6
9,1084199,4.2
9,1421001,4.2
9,1235619,2.5
10,205587,2.8
10,1425360,3.2
10,1440639,1.2
10,1400932,3.9
10,1434009,2.8
10,1442764,3.7
10,1416501,4.1
10,515001,3.5
10,177572,1.3
10,1423295,3.7
10,227159,4.9
10,1439837,4.4
10,1425366,2.1
10,1433719,3.6
10,1438502,4.7
10,675776,1.4
10,607141,2.5
10,1421053,2.4
10,898271,3.4
10,1255192,4.6
11,970947,1.6
11,696506,2.4
11,1442308,4.0
11,1106739,3.3
11,1432098,2.3
11,1440144,1.3
11,603,1.5
11,1214894,3.3
11,1429788,3.6
11,207933,2.5
11,1214130,2.4
11,1421001,1.8
11,939243,2.8
11,98,3.6
11,1436458,2.3
11,131631,5.0
11,1439033,3.6
11,1433872,2.9
11,1438267,2.8
11,1433719,1.5
12,1420234,3.8
12,1422166,2.4
12,1438480,2.5
12,227159,3.1
12,1440828,2.7
12,1301346,4.7
12,926670,3.2
12,1429788,3.0
12,1435275,4.3
12,1436269,2.7
12,1439890,1.2
12,1446308,2.5
12,1436683,4.4
12,426063,3.6
12,438631,3.8
12,1286663,3.1
12,1433813,3.3
12,1434672,3.9
12,447273,3.3
12,1003504,2.0
13,799766,4.9
13,1444253,4.7
13,244786,2.5
13,1378051,1.1
13,1317096,4.8
13,800367,4.5
13,1000881,2.4
13,1418287,4.4
13,1437446,2.7
13,1446308,1.5
13,1433860,2.1
13,1438480,1.2
13,1047884,2.9
13,24428,2.0
13,1442295,2.2
13,1421781,2.5
13,1439890,3.1
13,1429788,1.2
13,1013850,1.1
13,1328767,2.1
14,1427653,2.1
14,1443470,1.6
14,1439509,1.2
14,1440404,4.2
14,1442915,3.2
14,1389293,2.0
14,1198288,4.8
14,1325495,4.2
14,1231695,4.7
14,1439033,4.7
14,1444744,1.6
14,1274751,4.4
14,1442299,2.2
14,1357797,3.5
14,1127674,3.9
14,1432534,1.6
14,361743,1.3
14,1442689,2.3
14,1144417,1.1
14,157336,1.8
15,426063,3.8
15,24428,1.6
15,1436704,3.4
15,1439837,1.2
15,1433574,4.6
15,970947,4.7
15,154400,1.3
15,1442417,4.1
15,1445179,3.3
15,1319629,4.5
15,1442915,3.1
15,1424352,1.6
15,361743,2.3
15,1443238,3.1
15,1421781,2.7
15,122917,3.2
15,1214130,2.5
15,1353117,5.0
15,1443002,1.3
15,238,2.4
16,1441746,1.7
16,1440083,3.5
16,1144417,1.6
16,1294376,1.9
16,777443,1.8
16,1432368,1.3
16,1439033,2.1
16,872585,1.2
16,1138194,3.7
16,1437920,1.5
16,1378734,3.0
16,1083968,3.6
16,1440811,4.4
16,1437979,2.0
16,1435057,2.5
16,1437603,4.1
